Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2025-01-30,R.D.H.S - Jaffna,OSR6104,ALP (ALKALINE PHOSPHATASE) REAGENT,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6134,UREA- R1 4 X 25 ML- R2 4 X 25 ML,BIOCHEMISTRY,5.0
2025-01-30,R.D.H.S - Jaffna,OSR6178,CREATININE- R1 4 X 51 ML- R2 4 X 51 ML,BIOCHEMISTRY,12.0
2025-01-30,R.D.H.S - Jaffna,OSR60118,TRIG (TRIGLYCERIDES) REAGENT- 4 X 20 ML & 4 X 5 ML,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6132,TP (TOTAL PROTEIN) REAGENT- 4 X 25 ML & 4 X 25 ML,BIOCHEMISTRY,8.0
2025-01-30,R.D.H.S - Jaffna,OSR6112,TBIL (TOTAL BILIRUBIN) REAGENT,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6211,DIRECT BILIRUBIN- R1 4X20 ML- R2 4X20 ML,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6147,CRP- R1 4 X 14 ML- R2 4 X 6 ML,BIOCHEMISTRY,18.0
2025-01-30,R.D.H.S - Jaffna,OSR6121,GLUCOSE R1 4X25ML R2 4X12.5ML,BIOCHEMISTRY,12.0
2025-01-30,R.D.H.S - Jaffna,OSR6187,HDL-CHOLESTEROL- R1 4X27 ML- R2 4X9 ML,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6107,ALT (ALANINE AMINOTRANSFERASE) IFCC REAGENT,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6198,URIC ACID REAGENT- 4 X 30 ML & 4 X 12.5 ML,BIOCHEMISTRY,1.0
2025-01-30,R.D.H.S - Jaffna,OSR6102,ALB (ALBUMIN) REAGENT- 4 X 29 ML,BIOCHEMISTRY,5.0
2025-01-30,R.D.H.S - Jaffna,OSR6182,AMYLASE,BIOCHEMISTRY,5.0
2025-01-30,R.D.H.S - Jaffna,OSR6109,AST (ASPARTATE AMINOTRANSFERASE) REAGENT R1 4X25ML/R2 4X25ML,BIOCHEMISTRY,10.0
2025-01-30,R.D.H.S - Jaffna,OSR6116,CHOLESTEROL 4 X 22.5 ML R1,BIOCHEMISTRY,10.0
2025-01-30,Teaching Hospital - Peradeniya,00006799200,SAMPLE CUPS 0.5ML (1000/PK),COAGULATION,1.0
2025-01-30,Teaching Hospital - Peradeniya,81911,CONTRAD 70- 1.0 L,IMMUNOLOGY,1.0
2025-01-30,Teaching Hospital - Peradeniya,A85264,TOTAL BETA-HCG- ACCESS®- 2 X 50 TESTS(33500),IMMUNOLOGY,4.0
2025-01-30,Teaching Hospital - Peradeniya,81906,SUBSTRATE- ACCESS®- 4 BOTTLES- 130 ML/BOTTLE,IMMUNOLOGY,2.0
2025-01-30,Teaching Hospital - Peradeniya,B63285,ACCESS TSH (3RD IS) CALIBRATORS,IMMUNOLOGY,1.0
2025-01-30,Teaching Hospital - Peradeniya,A16792,WASH BUFFER II- ACCESS®- 4 BOTTLES- 1.9 L/BOTTLE,IMMUNOLOGY,12.0
2025-01-30,Teaching Hospital - Peradeniya,370,"Immunoassay Plus Control (Lyphochek), Trilevel – 12 x 5ml",BIOCHEMISTRY,1.0
2025-01-30,Teaching Hospital - Peradeniya,B63284,ACCESS TSH (3RD IS) 2x100 DET,IMMUNOLOGY,10.0
2025-01-30,Teaching Hospital - Peradeniya,33020,FERRITIN- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,2.0
2025-01-30,Teaching Hospital - Peradeniya,33600,CORTISOL- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,1.0
2025-01-30,Teaching Hospital - Peradeniya,37200,HYBRITECH® PSA- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,2.0
2025-01-30,Teaching Hospital - Peradeniya,A13422,FREE T3- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,00006799200,SAMPLE CUPS 0.5ML (1000/PK),COAGULATION,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,81910,SYSTEM CHECK SOLUTION,IMMUNOLOGY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,33025,FERRITIN CALIBRATORS (S0-S5)- 1 SET,IMMUNOLOGY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,33605,CORTISOL CALIBRATORS,IMMUNOLOGY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,33885,FREE T4 CALIBRATORS (S0-S5)- 1 SET,IMMUNOLOGY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,B63285,ACCESS TSH (3RD IS) CALIBRATORS,IMMUNOLOGY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,33600,CORTISOL- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,3.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,B63284,ACCESS TSH (3RD IS) 2x100 DET,IMMUNOLOGY,3.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,33880,FREE T4- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,2.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,370,"Immunoassay Plus Control (Lyphochek), Trilevel – 12 x 5ml",BIOCHEMISTRY,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,81906,SUBSTRATE- ACCESS®- 4 BOTTLES- 130 ML/BOTTLE,IMMUNOLOGY,3.0
